ID,Module,Submodule,Mode,Layer,Capability,Scenario / child function,Expected behavior,Local status,Local evidence,Target status,Target evidence,Confidence,Risk,Priority,Owner,Next verification,Validation command pack,Last verified,Notes,Readiness bucket
ARCH-RUNTIME-001,runtime,foreground pipeline,API + APP + DEBUG,backend,Canonical stage flow,event -> perception -> context -> motivation -> role -> planning -> action -> expression/memory/reflection evidence,Runtime preserves canonical stage ownership and exposes debug evidence.,PASS,backend/tests/test_runtime_pipeline.py; PRJ-925 full backend gate 1074 passed,PASS,PRJ-925 full backend gate; production release evidence remains tracked separately,High,Stage-order drift would corrupt all higher-level behavior.,P0,Backend + QA,Keep full backend gate after shared runtime contract changes.,Push-Location .\backend; ..\.venv\Scripts\python -m pytest -q tests/test_runtime_pipeline.py tests/test_graph_stage_adapters.py tests/test_graph_state_contract.py; $exit=$LASTEXITCODE; Pop-Location; exit $exit,2026-05-14,Runtime path is implemented and broadly covered locally.,READY
ARCH-ACTION-LOOP-001,action,bounded action loop,API + DEBUG,backend + docs,Skill-guided bounded tool use,Website review and ClickUp triage expose summary and bounded observations.,"Action owns execution, skills remain metadata, raw payloads stay out of debug/memory.",PASS,PRJ-924 focused tests; PRJ-925 full backend gate; PRJ-926 debug/ops docs,NOT_APPLICABLE,Provider behavior is locally testable; target proof belongs to provider activation rows.,High,Tool execution must not bypass confirmation or leak raw provider payloads.,P0,Backend + QA,Plan deeper execute-observe-adjust only from a narrow evidence-backed task.,"Push-Location .\backend; ..\.venv\Scripts\python -m pytest -q tests/test_action_executor.py tests/test_runtime_pipeline.py -k ""website_review_loop or work_partner_orchestration_baseline or triages_clickup_task_update_until_confirmation""; $exit=$LASTEXITCODE; Pop-Location; exit $exit",2026-05-14,Summary contract is ready; deeper reusable loop remains future scope.,READY
ARCH-AUTH-APP-001,app shell,auth/session,WEB + API,UI + API + DB,First-party authenticated shell,"Register, login, logout, session-backed /app routes, and user settings.","Product clients use backend-owned sessions, not raw user-id headers.",COVERED_LOCAL,backend/tests/test_api_routes.py; web/src/lib/api.ts; docs/architecture/traceability-matrix.md,PASS,v1.1 release evidence and production parity docs,High,Auth/session drift risks cross-user data exposure.,P0,Backend + Frontend,Keep cross-user/session regressions in the release gate.,"Push-Location .\backend; ..\.venv\Scripts\python -m pytest -q tests/test_api_routes.py tests/test_config.py -k ""auth or session or login or register or logout""; $exit=$LASTEXITCODE; Pop-Location; exit $exit",2026-05-14,Existing evidence is strong; keep in regression pack.,READY
ARCH-MEMORY-REFLECTION-001,memory,episodic/reflection,API + WORKER,backend + DB + worker,Memory and deferred reflection,"Foreground memory persists, reflection queue processes later, conclusions/relations remain bounded.",Memory and reflection preserve ownership boundaries and avoid expression-owned mutation.,PASS,backend/tests/test_memory_repository.py; backend/tests/test_reflection_worker.py; PRJ-925 full backend gate,PASS,v1.1 production release evidence green for core scope,High,Memory/reflection drift affects personality continuity and privacy.,P0,Backend + QA,Keep relation and memory consistency in future AI/runtime changes.,Push-Location .\backend; ..\.venv\Scripts\python -m pytest -q tests/test_memory_repository.py tests/test_reflection_worker.py tests/test_runtime_pipeline.py; $exit=$LASTEXITCODE; Pop-Location; exit $exit,2026-05-14,Reflection worker remains in-process/queue-backed; separate process is deferred.,READY
ARCH-PROACTIVE-001,proactive,scheduler/planned work,WORKER + OPS,backend + DB + ops,Proactive and planned work,"External cadence posture, planned work observer, and anti-spam boundaries are health-visible.","Proactive behavior is opt-in, bounded, and transcript-truth aware.",COVERED_LOCAL,backend/tests/test_scheduler_worker.py; backend/tests/test_planned_action_observer.py; runtime ops runbook,SCOPE_DEPENDENT_FOLLOW_UP,Current release boundary does not expand proactive launch scope; target sample is required only if that scope expands,Medium,Proactive mistakes can annoy users or violate communication boundaries.,P1,Backend + Ops,Run target proactive sample only when proactive launch scope expands.,"Push-Location .\backend; ..\.venv\Scripts\python -m pytest -q tests/test_scheduler_worker.py tests/test_planned_action_observer.py tests/test_runtime_pipeline.py -k ""scheduler or proactive or planned""; $exit=$LASTEXITCODE; Pop-Location; exit $exit",2026-05-14,Core implementation exists; broader live behavior remains scope-dependent.,DEFERRED
ARCH-WEB-UX-001,web,visual states and accessibility,WEB,frontend + QA,Experience quality evidence,"Key routes have current responsive, loading, empty, error, success, blocked, and accessibility proof.","UX quality claims are backed by repeatable screenshots or browser checks, not only route mounting.",PASS,"PRJ-931 web command pack: tsc, Vite build, route smoke with 14 routes, no framework overlay, non-empty body text, and zero visible unnamed interactive controls",PASS,PRJ-931 focused route-state/accessibility smoke,High,A route can mount successfully while still missing state/accessibility polish.,P1,Frontend + QA,Keep route-state/accessibility smoke in route-shell and shared-control changes.,Push-Location .\web; npm exec -- tsc -b --pretty false; if ($LASTEXITCODE -eq 0) { npm exec -- vite build }; if ($LASTEXITCODE -eq 0) { npm run smoke:routes }; $exit=$LASTEXITCODE; Pop-Location; exit $exit,2026-05-14,Fresh route-state and lightweight accessibility evidence is attached.,READY
ARCH-CONNECTORS-001,connectors,confirmation-gated organizer tools,API + PROVIDERS,backend + integration + web,ClickUp/Calendar/Drive organizer stack,Read paths are bounded; mutation paths require explicit confirmation and provider readiness.,Provider operations remain action-owned and fail closed without credentials/confirmation.,COVERED_LOCAL,PRJ-811..926 evidence; backend/tests/test_action_executor.py; backend/tests/test_api_routes.py,BLOCKED_EXTERNAL_EXTENSION,Provider activation smoke requires operator credentials and an expanded organizer launch claim,Medium,Daily-use organizer claims require real provider proof.,P1,Backend + Ops,Run provider activation smoke after ClickUp/Calendar/Drive credentials exist and organizer launch scope expands.,"Push-Location .\backend; ..\.venv\Scripts\python -m pytest -q tests/test_action_executor.py tests/test_connector_policy.py tests/test_api_routes.py -k ""connector or tools_overview or tools_preferences""; $exit=$LASTEXITCODE; Pop-Location; exit $exit",2026-05-14,Current v1/v1.1 release boundary keeps organizer provider activation outside the achieved core/web-supported marker.,DEFERRED
ARCH-WEB-ROUTES-001,web,route shell,WEB,frontend,First-party web shell,"Public, auth, dashboard, chat, personality, tools, and module routes mount and use backend-owned contracts.",Routes render through shared shell patterns and app-facing APIs.,PASS,web/scripts/route-smoke.mjs; v1 roadmap route smoke evidence; frontend extraction tasks,PASS,v1.1 release evidence and route smoke documentation,High,Route breakage blocks user-facing product usage.,P0,Frontend + QA,Keep route smoke in every route/frontend architecture change.,Push-Location .\web; npm run smoke:routes; $exit=$LASTEXITCODE; Pop-Location; exit $exit,2026-05-14,Visual perfection is separate from route mounting confidence.,READY
ARCH-MOBILE-001,mobile,native app scope,MOBILE,client,Native app extension,"Native app proof is outside the current product scope; current UI target is the web app at mobile, tablet, and desktop breakpoints.",Mobile must not consume internal debug/admin routes or provider secrets.,SCOPE_DEFERRED,PRJ-1158..1199 evidence is preserved as historical native-app groundwork; current user scope selects web responsive breakpoints instead,DEFERRED_BY_SCOPE,User clarified current scope is web in mobile/tablet/desktop breakpoints; native app proof should not drive next work,Medium,Native mobile proof can distract from the selected web-responsive product target if kept as active next work.,P2,Mobile + Planning,Do not pursue native app proof unless scope is reactivated; keep validating web mobile/tablet/desktop breakpoints through ARCH-WEB-UX-001.,Native app proof is deferred by current scope; validate web responsive breakpoints through ARCH-WEB-UX-001.,2026-05-14,"Native app evidence remains preserved, but the active UI target is web responsive behavior across three breakpoints.",DEFERRED
ARCH-AI-SECURITY-001,AI safety,red-team/security,API + PROD,backend + ops,AI red-team and boundary refusals,"Behavioral pack catches unsafe bypass, false mutation success, and cross-user/private-source leaks.",AI responses preserve tool/action boundaries and user-data isolation.,PASS,docs/security/v1-ai-red-team-scenario-pack.md; v1.1 strict pack result in roadmap,PASS,v1.1 strict production pack: 9 PASS / 0 REVIEW / 0 FAIL / 0 BLOCKED,High,AI boundary failures can leak data or falsely claim actions.,P0,Security + QA,"Rerun red-team pack after prompt, expression, action, auth, or provider changes.",.\backend\scripts\run_behavior_validation.ps1 -GateMode operator; review docs/security/v1-ai-red-team-scenario-pack.md,2026-05-14,Current hardening proof is green; keep as release regression gate.,READY
ARCH-RELEASE-OPS-001,operations,release/deploy,PROD,ops + backend,Release evidence and deploy parity,"Release candidate, production backend revision, web meta revision, health, and release smoke align.",Operators can prove what is deployed and whether release gates are green.,PASS,docs/operations/release-evidence-index.md; backend/scripts/run_release_go_no_go.py,PASS,v1.1 release marker and go/no-go evidence,High,Deploy drift makes all release claims unreliable.,P0,Ops/Release,Refresh release evidence index for every selected candidate.,Push-Location .\backend; ..\.venv\Scripts\python .\scripts\run_release_go_no_go.py; $exit=$LASTEXITCODE; Pop-Location; exit $exit,2026-05-14,"Source automation reliability is a future-candidate follow-up, not a current core blocker.",READY
ARCH-DEPLOY-AUTO-001,operations,Coolify source automation,PROD,ops,Source-driven deployment reliability,Repository source automation reliably deploys selected candidates without manual UI fallback.,Release process should have repeatable source/webhook convergence evidence.,PARTIAL,docs/operations/release-evidence-index.md records source/webhook reliability as follow-up,FUTURE_CANDIDATE_FOLLOW_UP,Future candidate deploys should prove source automation without UI fallback,Medium,Manual fallback can hide source automation drift for the next candidate.,P1,Ops/Release,"On the next release candidate, capture source/webhook deploy convergence or explicit fallback evidence.","Run candidate deploy from source/webhook, then capture release go/no-go and web meta revision evidence in docs/operations/release-evidence-index.md.",2026-05-14,Current release parity is green; this is future-candidate reliability work.,DEFERRED
ARCH-DOCS-GOV-001,documentation,source-of-truth governance,REPO,docs + workflow,Architecture and execution truth,"Architecture, implementation reality, task board, state files, and ledgers stay synchronized.",Future agents can continue without hidden chat context.,PASS,AGENTS.md; docs/README.md; PRJ-924..927 context/state updates,NOT_APPLICABLE,Repository-local governance only,Medium,Stale docs cause repeated wrong tasks and hidden regressions.,P1,Planning + Documentation,Use this matrix to select future evidence/fix tasks before inventing new work.,Push-Location .\backend; ..\.venv\Scripts\python .\scripts\audit_architecture_implementation_map.py; if ($LASTEXITCODE -eq 0) { ..\.venv\Scripts\python .\scripts\generate_project_status_dashboard.py }; $exit=$LASTEXITCODE; Pop-Location; exit $exit,2026-05-14,This row is the governance guardrail for the audit itself.,READY
ARCH-DOC-MAPS-001,documentation,secondary maps,REPO,docs,Traceability and codebase maps,Secondary maps stay aligned with the latest architecture implementation audit.,Future agents can use secondary maps together with the generated dashboard without stale readiness claims.,PASS,PRJ-932; docs/architecture/traceability-matrix.md and docs/architecture/codebase-map.md refreshed 2026-05-11,NOT_APPLICABLE,Repository-local documentation only,High,Future drift is still possible if architecture rows change without refreshing maps.,P1,Documentation,Keep secondary maps refreshed whenever architecture audit rows materially change.,Refresh docs/architecture/traceability-matrix.md and docs/architecture/codebase-map.md from docs/operations/architecture-implementation-map-2026-05-10.csv; then rerun the audit/dashboard generators and git diff --check.,2026-05-14,This audit remains the current planning radar; secondary maps now point to it explicitly.,READY
ARCH-TEST-EVIDENCE-001,quality,test ownership,REPO,tests + docs,Test and evidence ownership,"Critical architecture rows map to exact tests, smoke scripts, and evidence artifacts.",Future tasks can select validation packs from row IDs without rediscovering test ownership.,PASS,docs/engineering/test-ownership-ledger.md; this audit now emits row-specific validation command packs,NOT_APPLICABLE,Repository-local quality map,Medium,Weak evidence ownership causes repeated broad test runs and missed focused regressions.,P1,QA/Test,Keep row-specific command packs current when architecture rows or validation ownership change.,Push-Location .\backend; ..\.venv\Scripts\python .\scripts\audit_architecture_implementation_map.py; if ($LASTEXITCODE -eq 0) { ..\.venv\Scripts\python .\scripts\generate_project_status_dashboard.py }; $exit=$LASTEXITCODE; Pop-Location; exit $exit,2026-05-14,PRJ-929 added exact row command packs to the generated audit and dashboard.,READY
